cname,RT,precursor,formula,predicted_molecular_formula,delta_mass_predicted_formula_m/z,delta_mass_predicted_formula_m/z_ppm,parent_nucleus_category,delta_mass_m/z_parent_nucleus,substituent_combinations_text,substituents+formula,substituents+parent_nucleus_mass,delta_mass_predicted_m/z,ppm_difference,predicted_molecular_formula_correct,predicted_molecular_formula_correct,total_number_of_substituent_combinations,link,top_20_abundance_fragments_HCD110,top_20_abundance_fragments_HCD50,CH3/CH4_neutral_loss_judgement,minimum_ppm_CH3/CH4_neutral_loss
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,232.11208,89.99432999999999,1-OH+1-CH2OH+1-OCH2O-,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,file:\\\C:\work\MS-SMART\results\20230420-XTW-HCD110\_ID5_ppm4=5_322.10641.html,220.07524 (100.0) / 235.06221 (76.6) / 191.07262 (64.7) / 232.07515 (52.0) / 219.06743 (48.2) / 248.06989 (47.3) / 206.05968 (41.9) / 263.05701 (39.9) / 192.08043 (37.0) / 207.06757 (36.4) / 204.08043 (36.2) / 178.06479 (22.2) / 233.04665 (16.4) / 165.06963 (16.0) / 278.08044 (14.0) / 181.05174 (13.6) / 205.0515 (10.8) / 157.05205 (10.1) / 203.07242 (9.9) / 176.06187 (9.3) / ,294.11163 (100.0) / 278.08047 (96.0) / 322.10641 (50.0) / 250.08569 (24.0) / 279.08829 (14.2) / 265.07281 (8.4) / 220.07536 (5.0) / 292.09616 (4.3) / 264.06491 (3.9) / 233.08304 (3.5) / 321.09674 (3.0) / 262.08575 (2.7) / 235.06212 (2.6) / 276.06546 (2.4) / 320.09085 (2.3) / 232.07533 (2.2) / 221.0831 (2.2) / 249.07828 (1.6) / 293.10187 (1.6) / 263.0571 (1.6) / ,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,232.11208,89.99432999999999,1-OH+1-OCH3+1-OCH2O-,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,,,,,
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,232.11208,89.99432999999999,2-OH+1-CH2OCH2O-,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,232.11208,89.99432999999999,1-CH3+2-OH+1-OCH2O-,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,230.09643,92.00997999999998,2-OH+2-CH2OH,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,230.09643,92.00997999999998,2-OH+1-OCH3+1-CH2OH,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,,,,,
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,230.09643,92.00997999999998,2-OH+2-OCH3,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,,,,,
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,230.09643,92.00997999999998,1-CH3+3-OH+1-CH2OH,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,230.09643,92.00997999999998,1-CH3+3-OH+1-OCH3,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,,,,,
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,230.09643,92.00997999999998,2-CH3+4-OH,C19H16NO4,322.107386,0.0009760000000085256,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,2-OCH2O-,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,1-CH2OH+1-OCH2O-+1-O,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,2-CH2OH+2-O,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,1-OCH3+1-OCH2O-+1-O,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,,
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,1-OCH3+1-CH2OH+2-O,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,,
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,2-OCH3+2-O,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,,
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,1-OH+1-O+1-CH2OCH2O-,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,1-CH3+1-OH+1-OCH2O-+1-O,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,1-CH3+1-OH+1-CH2OH+2-O,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,0,8.829772655783362
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,1-CH3+1-OH+1-OCH3+2-O,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,,
5,12.92448,322.10641,,C19H16NO4,0.0015200000000277214,4.71894,234.12773,87.97867999999997,2-CH3+2-OH+2-O,C19H16NO4,322.107386,0.0009760000000369473,3.03005,,,21,,,,0,8.829772655783362
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,232.11208,89.99470000000002,1-OH+1-CH2OH+1-OCH2O-,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,file:\\\C:\work\MS-SMART\results\20230420-XTW-HCD110\_ID6_ppm4=5_322.10678.html,220.07539 (100.0) / 250.08577 (61.0) / 191.07269 (59.9) / 222.09094 (56.8) / 233.08308 (49.7) / 192.08051 (45.6) / 204.08046 (35.6) / 249.07771 (34.1) / 221.08311 (27.7) / 252.06505 (26.2) / 248.07016 (19.5) / 165.06981 (18.9) / 207.06746 (18.6) / 232.07549 (16.3) / 236.06995 (13.6) / 208.07603 (13.1) / 178.06493 (10.5) / 196.07539 (10.0) / 276.06458 (9.5) / 203.07291 (8.7) / ,322.10684 (100.0) / 307.08347 (79.9) / 279.08847 (27.6) / 278.08078 (15.8) / 250.08582 (14.7) / 251.09369 (7.9) / 306.07556 (4.0) / 277.07208 (3.0) / 305.06808 (1.8) / 249.0779 (1.8) / 68.08862 (1.8) / 294.11176 (1.8) / 292.05948 (1.7) / 222.09084 (1.7) / 262.08621 (1.5) / 264.06534 (1.3) / 276.0654 (1.2) / 234.09099 (1.2) / 236.07018 (1.1) / 248.07011 (0.8) / ,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,232.11208,89.99470000000002,1-OH+1-OCH3+1-OCH2O-,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,,,,,
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,232.11208,89.99470000000002,2-OH+1-CH2OCH2O-,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,232.11208,89.99470000000002,1-CH3+2-OH+1-OCH2O-,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,230.09643,92.01035000000002,2-OH+2-CH2OH,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,230.09643,92.01035000000002,2-OH+1-OCH3+1-CH2OH,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,,,,,
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,230.09643,92.01035000000002,2-OH+2-OCH3,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,,,,,
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,230.09643,92.01035000000002,1-CH3+3-OH+1-CH2OH,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,230.09643,92.01035000000002,1-CH3+3-OH+1-OCH3,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,,,,,
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,230.09643,92.01035000000002,2-CH3+4-OH,C19H16NO4,322.107386,0.0006059999999763477,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,2-OCH2O-,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,1-CH2OH+1-OCH2O-+1-O,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,2-CH2OH+2-O,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,1-OCH3+1-OCH2O-+1-O,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,,
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,1-OCH3+1-CH2OH+2-O,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,,
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,2-OCH3+2-O,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,,
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,1-OH+1-O+1-CH2OCH2O-,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,1-CH3+1-OH+1-OCH2O-+1-O,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,1-CH3+1-OH+1-CH2OH+2-O,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,0,6.558745979173827
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,1-CH3+1-OH+1-OCH3+2-O,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,,
6,8.4155717,322.10678,,C19H16NO4,0.0011499999999955435,3.57024,234.12773,87.97905,2-CH3+2-OH+2-O,C19H16NO4,322.107386,0.0006060000000047694,1.88136,,,21,,,,0,6.558745979173827
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,232.11208,92.01048000000003,2-OH+2-CH2OH,C19H18NO4,324.12303599999996,0.0004759999999635056,1.46858,,,16,file:\\\C:\work\MS-SMART\results\20230420-XTW-HCD110\_ID7_ppm4=5_324.12256.html,236.0701 (100.0) / 237.07796 (98.5) / 265.07266 (55.7) / 238.08566 (34.5) / 220.07526 (33.1) / 208.07538 (32.6) / 209.08315 (26.7) / 210.09132 (15.8) / 266.08044 (14.0) / 192.0806 (13.3) / 221.08316 (12.9) / 191.07269 (11.4) / 165.06981 (11.2) / 223.06223 (10.7) / 167.07275 (10.7) / 180.08044 (8.2) / 215.05707 (8.0) / 183.06764 (7.6) / 264.06488 (7.0) / 249.07831 (6.7) / ,324.12225 (100.0) / 309.09885 (90.4) / 294.07541 (74.7) / 266.08054 (41.7) / 238.08545 (5.0) / 265.07263 (4.8) / 281.10315 (2.3) / 68.15752 (1.1) / 68.1613 (0.7) / 237.07864 (0.7) / 280.09402 (0.5) / 249.07777 (0.4) / 308.0892 (0.4) / 293.06653 (0.4) / 104.41509 (0.4) / 277.57123 (0.3) / 90.96772 (0.3) / 210.09067 (0.3) / 72.61203 (0.3) / ,0,4.527419796316665
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,232.11208,92.01048000000003,2-OH+1-OCH3+1-CH2OH,C19H18NO4,324.12303599999996,0.0004759999999635056,1.46858,,,16,,,,,
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,232.11208,92.01048000000003,2-OH+2-OCH3,C19H18NO4,324.12303599999996,0.0004759999999635056,1.46858,,,16,,,,,
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,232.11208,92.01048000000003,1-CH3+3-OH+1-CH2OH,C19H18NO4,324.12303599999996,0.0004759999999635056,1.46858,,,16,,,,0,4.527419796316665
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,232.11208,92.01048000000003,1-CH3+3-OH+1-OCH3,C19H18NO4,324.12303599999996,0.0004759999999635056,1.46858,,,16,,,,,
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,232.11208,92.01048000000003,2-CH3+4-OH,C19H18NO4,324.12303599999996,0.0004759999999635056,1.46858,,,16,,,,0,4.527419796316665
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,1-OH+1-CH2OH+1-OCH2O-,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,0,4.527419796316665
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,1-OH+2-CH2OH+1-O,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,0,4.527419796316665
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,1-OH+1-OCH3+1-OCH2O-,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,,
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,1-OH+1-OCH3+1-CH2OH+1-O,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,,
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,1-OH+2-OCH3+1-O,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,,
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,2-OH+1-CH2OCH2O-,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,0,4.527419796316665
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,1-CH3+2-OH+1-OCH2O-,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,0,4.527419796316665
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,1-CH3+2-OH+1-CH2OH+1-O,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,0,4.527419796316665
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,1-CH3+2-OH+1-OCH3+1-O,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,,
7,9.5404928,324.12256,,C19H18NO4,0.0010199999999827014,3.14696,234.12773,89.99483000000001,2-CH3+3-OH+1-O,C19H18NO4,324.123036,0.0004759999999919273,1.46858,,,16,,,,0,4.527419796316665
